플랫폼,A_정산서등장_정산정보없음,B_잠재오염_정산정보없음,C_사용안함_사용금지_선차단,OK_지급정산관리존재
교보,7,104,163,3696
구글,18,45,80,3387
네이버,37,110,188,9880
노벨피아,0,3,20,325
로망띠끄,0,15,9,924
리디북스,2,22,60,3487
모픽,1,2,29,648
무툰,14,32,92,2943
문피아,0,10,18,768
미소설,1,11,56,699
미스터블루,62,214,111,9281
밀리의서재,0,12,20,396
보인&국립장애인도서관,0,6,11,240
부커스,0,4,16,308
북큐브,2,22,76,3563
북팔,0,13,46,1356
블라이스,1,61,151,1699
스낵북,1,9,61,451
스토린랩,0,39,12,2017
신영미디어,0,5,8,360
알라딘,2,29,80,1262
에이블리,1,5,18,450
에피루스,0,23,61,787
예스24,2,55,90,4096
올툰,0,417,16,729
원스토어,5,181,118,9695
윌라,1,8,73,665
조아라,1,17,49,1197
카카오,54,56,131,3097
큐툰,0,3,9,403
토스(구루컴퍼니),1,416,42,968
판무림,5,63,81,8978
피우리(누온),1,12,9,2376
피플앤스토리,0,11,11,1727
하이북,12,35,67,3430
한아름,44,211,72,7115
